id;details.maxplayers;details.minage;details.minplayers;details.name;details.playingtime;attributes.boardgamecategory;attributes.boardgamemechanic;details.description
85;4;12;2;Blue vs. Gray;120;American Civil War,Card Game,Dice,Wargame;Dice Rolling,Hand Management;From GMT website :..&quot How many times have you said &ldquo I would have done it differently?&rdquo  With Blue vs Gray: The Civil War Card Game now&rsquo s your chance. Sack Beauregard and replace him with A.S. Johnston. Dump Hooker for Thomas. And never, ever let Stuart go joyriding...A CARD GAME THAT PLAYS LIKE A WARGAME.~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~.Corps, insignia, Divisions, flags, important events, civilians &amp  commanders - they're all here! Fight on an accurate map of America, made of cards, built up as you play. The people and events that made a difference in the War Between the States are on your front lines, making a difference in whether you win or lose. ...NON-COLLECTIBLE AND PROUD OF IT.~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~.You get every card needed to play your side. (100 cards in the Northern deck and 100 cards in the Southern deck.) No elusive &ldquo rare&rdquo  cards to ruin games, or drive up prices. How can you recreate the War without Jackson or Sherman ?&quot ...BoardGameGeek introduction :..Blue vs. Gray is an interesting card game that covers the whole span of the civil war at the strategic level.  Each side has its own deck of cards which includes leaders, units and special actions and events.  Through the use of cards a map of the entire south slowly is revealed as the war progresses.  Players have to manage their forces through an elaborate command structure while watching the expenditure of their supply.  The entire game can be played in an evening and carried away in a player's pockets...
86;2;8;2;Star Wars: Episode 1 – Clash of the Lightsabers;20;Card Game,Movies / TV / Radio theme,Science Fiction;Hand Management;Spewed out amidst the rest of the 'Phantom Menace' merchandise, this little card game from Hasbro actually rises to a decent level for the true Gamer.  The game focuses on the duel between Qui-Gon and Darth Maul.  Players face off in three battles per round trying to beat the other in two out of the three battles.  If you win a round then you score a point on the victory track.  Players have to manage a hand of cards and decide when to press forward and when to concede a battle...From the box:..Relive the Final Duel in a one-on-one contest of strategy and skill!..It's your turn to determine the fate of Naboo!  Pick who you will be -- Sith Lord Darth Maul or Jedi Master Qui-Gon Jinn -- and duel to the finish!..Hand by hand, round by round, use your Battle Deck to attack and defend. Use strategy. Use skill. Use the Force. Move your figure through thte FInal Duel cards towards victory until the battle is won. Who will be the winner?..Contents...    55 Qui-Gon Jinn Battle Cards.    55 Darth Maul Battle Cards.    5 Qui-Gon Jinn Final Duel Cards.    5 Darth Maul Final Duel Cards.    1 Qui-Gon Jinn Pewter Figure.    1 Darth Maul Pewter Figure...
87;2;14;2;Paths of Glory;480;Wargame,World War I;Campaign / Battle Card Driven,Dice Rolling,Point to Point Movement;(from GMT Games' website:)..They called it the Great War. In over four years of titanic struggle, the ancient Europe of Kings and Emperors tore itself to pieces, giving birth to our own violent modern age. The bloody battles fought in the trenches of the Western Front, the icy plains of Poland, the mountains of the Balkans, and the deserts of Arabia, shaped the world we know today. We are all orphans of the Great War...Paths of Glory: The First World War, designed by six-time Charles S. Roberts awards winner, Ted Raicer, allows players to step into the shoes of the monarchs and marshals who triumphed and bungled from 1914 to 1918. As the Central Powers you must use the advantage of interior lines and the fighting skill of the Imperial German Army to win your rightful 'place in the sun.' As the Entente Powers (Allies) you must bring your greater numbers to bear to put an end to German militarism and ensure this is the war 'to end all wars.' Both players will find their generalship and strategic abilities put to the test as Paths of Glory's innovative game systems let you recreate all the dramatic events of World War I...Components:..     316 full-color die-cut counters:.         176 5/8&rdquo  die cut counters.         140 1/2&rdquo  die cut counters.    .     One 22x34&quot  full-color mapsheet showing most of Europe and the Near East.     110 Strategy Cards.     32-page Rule Book including sample game replay (21 pages of actual rules).     Two Player Reference Cards .....DESIGNER: Ted Raicer.DEVELOPER: Andy Lewis.ART DIRECTOR: Rodger B. MacGowan.MAP ART: Mark Simonitch.CARDS &amp  COUNTER ART: Mark Simonitch...(BGG description:)..Following in the footsteps of We the People, Hannibal: Rome vs. Carthage, Successors (second edition), and For the People, Paths of Glory utilizes a similar card-driven system.  The game covers WWI from its outbreak to American intervention and spans all of Europe and the Middle East.  Not only is the game innovative, but it also plays fast, usually within just an evening...While the game itself has all of the normal expectations of a wargame, with various units, CRT charts and period chrome, at heart the game rests within the card play.  Players are given a hand of cards to play out six sub-phases of a turn.  Each sub-phase allows for the use of a card or a pass with a minimal movement of units.  Each card has four possible uses: operational movement, strategic movement, special events, and replacement points.  The cardplay forces players to constantly make tough decsions as they feel that they need to do a little bit of everything but they can only do one thing at a time.  How you play your cards will decide to a large degree the outcome of the war...
88;5;12;2;El Grande;120;Renaissance;Area Control / Area Influence,Area Movement,Auction/Bidding,Card Drafting,Hand Management,Memory,Simultaneous Action Selection;In this award-winning game, players take on the roles of Grandes in medieval Spain.  The king's power is flagging, and these powerful lords are vying for control of the various regions.  To that end, you draft caballeros (knights in the form of colored cubes) into your court and subsequently move them onto the board to help seize control of regions.  After every third round, the regions are scored, and after the ninth round, the player with the most points is the winner...In each of the nine rounds, you select one of your 13 power cards to determine turn order as well as the number of caballeros you get to move from the provinces (general supply) into your court (personal supply)...A turn then consists of selecting one of five action cards which allow variations to the rules and additional scoring opportunities in addition to determining how many caballeros to move from your court to one or more of the regions on the board (or into the castillo - a secretive tower). Normally, you may only place your caballeros into regions adjacent to the one containing the king pawn. The one hard and fast rule in El Grande is that nothing may move into or out of the king's region. One of the five action cards that is always available each round allows you to move the king to a new region. The other four action cards varying from round to round...The goal is to have a caballero majority in as many regions (and the castillo) as possible during a scoring round. Following the scoring of the castillo, you place any cubes you had stashed there into the region you had secretly indicated on your region dial. Each region is then scored individually according to a table printed in that region. Two-point bonuses are awarded for having sole majority in the region containing your Grande (large cube) and in the region containing the king...
89;6;12;2;Union Pacific;90;Economic,Trains;Card Drafting,Route/Network Building,Stock Holding;Union Pacific is a train-themed stock market game.  On each turn, players must choose between expanding a company to increase its value and adding a share of stock to their hand, or playing stock onto the table from their hand to increase their ownership of one or two companies.  There are four semi-random scoring events, in which the first and second place share holder in each company are paid dividends.  Only stock that has been previously played onto the table is considered during the scoring rounds.   Union Pacific is a special company whose shares are claimed according to special rules.  Union Pacific is not represented on the board but instead pays dividends to all share holders according to a fixed progression chart.  Money is only used to track victory conditions and cannot be spent during the game.  The winner is the player with the most money at the end of the game...Re-implements:...     Airlines...Re-implemented as:...     Airlines Europe...
90;6;8;2;Igel Ärgern;30;Animals,Children's Game,Dice,Racing;Roll / Spin and Move;Translated literally, the title means &quot Hedgehog Irking&quot  (or a bit more loosely, &quot Annoying the Hedgehogs&quot ), but the game is usually referred to in English as &quot Hedgehogs in a Hurry.&quot  This game gives players several wooden disks (the hedgehogs) to place in one of six rows.  During a turn, you roll a die, optionally move any of your hedgehogs one row left or right, then move any hedgehog (not necessarily yours!) in the row your rolled forward one space.  But watch out for black spaces  hedgehogs caught there can't continue moving until they're in last place.  The first player to get three of their four hedgehogs to the end of the board wins.  Some later versions of this game come with dozens of different variants to keep the game interesting...
91;2;10;2;Broadsides and Boarding Parties;60;Nautical,Pirates,Wargame;Action / Movement Programming,Dice Rolling,Hand Management,Point to Point Movement;Broadsides and Boarding Parties was the first title in Milton Bradley's Gamemaster series of games.  It is a light tactical war game during the age of sail where two ships face off against one another on the sea.  There are basically two layers to the game, the broadsides portion in which players plot their movement with a deck of cards, attempting to maneuver their ships in such a way that they can fire a volley of cannon balls at the opponent while minimizing the risk of return fire...The second layer of the game begins when the movement of ships results in them bumping into one another.  In these instances the Boarding Parties portion comes into play.  Here players line up their ships next to one another and attempt to storm the other ship and kill the opposing captain.  Players can only move a limited amount of their units each turn and so some planning is required to hem in the opposing captain...The components for the game are quite elaborate.  Each player is given a fully detailed plastic ship about a foot long with removable masts.  Also, each player is given a whole crew of little plastic pirate figures, cannon, and captain.  Lastly the board is full color and styled in the period....Note that the first edition was published in 1982 by Larry Harris, Jr. (Citadel Game Systems) and came in a box similar in size to the Games Workshop Ltd. or Avalon Hill games.  There are no elaborate plastic ships, cannons or playing pieces in the original edition, though.  You get paper maps and cardboard counters...
92;6;10;2;Conquest of the Empire;180;Ancient,Economic,Wargame;Area Movement,Dice Rolling;Conquest of the Empire is part of Milton Bradley's Gamemaster series.  It is set during the Roman Empire and depicts the struggle around the Mediterranean as rival factions attempt to take control of the empire.  Each player plays one of these factions and receives a Caesar figure, several general figures, and ships of a specific color.  Along with these leaders, players utilize a pool of generic units composed of infantry, cavalry, and catapults.  All game pieces are plastic figures...Players attempt to conquer their neighbors and build up cities and fortifications to increase production of wealth.  Players also may build road networks that allow for faster movement, by all armies.  Along the way players have to contend with rising inflation which makes military units more and more expensive.  Eventually through elimination one player pulls ahead for the win...Re-implemented by:..    Eagle Games's Conquest of the Empire (2005).....
93;5;12;2;Axis & Allies;180;Economic,Wargame,World War II;Area Movement,Dice Rolling,Partnerships;Axis and Allies is the most successful of Milton Bradley's Gamemaster series...It depicts WWII on a grand scale, full global level. Up to five players can play on two different teams. The Axis which has Germany and Japan, and the Allies which has the USA, the United Kingdom, and the USSR. A full map of the world is provided, broken up in various chunks similar to Risk. The game comes with gobs of plastic miniatures that represent various military units during WWII.  Players have at their disposal infantry, armor, fighters, bombers, battleships, aircraft carriers, submarines, troop transports, anti-air guns, and factories. All of the units perform differently and many have special functions. Players have to work together with their teammates in order to coordinate offenses and decide how best to utilize their production points. Players also have the option of risking production resources on the possibility of developing a super technology that might turn the tide of war...Axis and Allies was originally published by Nova Games in 1981...Re-implemented by:..    Axis & Allies Anniversary Edition.     Axis &amp  Allies: Global 1940 (Axis & Allies Pacific 1940 combined with Axis & Allies Europe 1940).....Expanded by:..    Totally Untested Volume 2 of Max's Advanced Rules for Axis & Allies (Unofficial expansion).    Conquest of the Pacific (Unofficial expansion).    Midway (Unofficial expansion).....
94;4;12;2;Fortress America;180;Science Fiction,Wargame;Area Movement,Dice Rolling;Fortress America, originally part of Milton Bradley's Gamemaster series, depicts an alternate near-future in which all of the world attacks and invades the continental United States. From the west arrives hordes of Asian foes  from the south arrives a union of South American countries through Mexico, and from the east lands come legions of Soviets who have taken over all of Europe. America besieged has to rely on the remaining ground and air forces left in the country along with partisan uprisings to defend mom's apple pie...Up to four players can play Fortress America, one player being the U.S. and up to three others controlling the invading units from a particular direction. Being a near future scenario, the units in the game include conventional infantry, APCs, hovertanks, helicopters, bombers, US partisan units, and special &quot Star Wars&quot  laser relay systems that fire from space...The game emphasizes combined arms in that players receive a bonus if infantry, mechanized, and air power are all used in a conflict. For the invading countries, all the units they receive for the game are given at the start so they must manage them wisely. The U.S., however, starts with a skeleton defense and builds up throughout the game through a random deck of cards. Further, the U.S. slowly builds up its Star Wars system, so the longer the invaders are delayed, the more powerful the U.S. becomes both conventionally and through its defense system...Reimplemented by:...    Fortress America (2012)...
95;6;8;2;Detroit-Cleveland Grand Prix;60;Card Game,Racing;Auction/Bidding;This game is part of a family which includes Top Race, Daytona 500, and Formel 1.  Players are dealt a hand of cards which have movement numbers for one or more of the cars.  When a card is played, the cars are advanced the number of spaces indicated in order from top to bottom.  However, if the track is blocked, then that movement is lost, so the idea is to use the cards that help your opponents (which you'll likely have to play eventually) only when they won't be able to take advantage of the movement...
96;5;10;3;Klunker;30;Card Game;Set Collection;Uwe Rosenberg seems to have a talent for inventing novel card game systems, and this game helps his reputation.  Some describe it as Bohnanza, the second helping, and in this game about collecting sets of different kinds of jewelry  players do buy cards from each other and play cards out of their hands to complete sets of four.  However, the points awarded for a complete set are adversely affected if multiple sets of similar cards already exist...
97;6;12;2;Titan;240;Fantasy,Fighting;Dice Rolling,Player Elimination,Roll / Spin and Move,Secret Unit Deployment,Set Collection;This classic game of the Fantasy Monster Slug-a-thon is a standby from the Avalon Hill of yore.  The game still has a very devoted following, which is a tribute to the depth of the various strategies and approaches.  The game is divided into two realms, the masterboard and the battleboards.  On the masterboard, legions of mythical creatures roam about trying to recruit bigger and badder monsters and kill opposing legions in the process.  When a combat occurs, the action moves to the corresponding battleboard type corresponding to the area the fight is taking place in.  After lots of dice are tossed, the army that remains standing is returned to the masterboard with the spoils of war: points...The points are used to recruit Angels and Archangels and to augment the leader character of the player's army: The Titan.  As the points increase, the Titans become ever more powerful  at game end, the titan is able to kill most other character with a single blow. But be careful: If the Titan dies, the player is out of the game...The last Titan standing is the ruler of all, and winner of the game...
98;4;14;3;Extrablatt;90;Territory Building;Area Control / Area Influence,Set Collection,Simulation,Tile Placement;Players take on the role of editors in this older German title, choosing stories of various general types (politics, sports, entertainment, etc.) to run in their respective newspapers.  Two factors determine a story's worth: timing and size.  The timing is relevant because the later in the game the story is run the more points it's potentially worth.  But in this game (as in the real world) size is important, because only the biggest story of any given headline will score...
99;5;8;2;Colossal Arena;60;Card Game,Fantasy,Mythology;Betting/Wagering,Hand Management;Colossal Arena/Titan: This is a strategic card game for 2 to 5 players: you play, not as combatants, but as spectators, cheering and betting on the melee ongoing in a fantasy arena/colosseum in which fantasy creatures are pitted against each other in battle!..Each round one of the creatures will die. To decide which unlucky soul will be the victim, players put numbered power cards in front of the creatures, with the lowest one going to the graveyard.  The jockeying for position and strategic diplomacy in playing the numbered power cards can be intense - but what makes this game even more interesting is that the players' place bets throughout the game which will sometimes allow them to use a creature's special power in battle!..The winner at the end of the game is the bettor who's raked in the most winnings - just another day in the life of a fantasy monster gambler...Titan: The Arena is actually a reworking of a Reiner Knizia game called Grand National Derby, but Avalon Hill's remake was quite significant from a gameplay standpoint...The Titan: The Arena printing is often confused with its namesake, Titan.  But other than the fact that they both use fantasy creatures as a general theme, there is very little that is similar between the two...Reimplemented by: Galaxy: The Dark Ages..
100;4;10;2;Mystery Rummy: Jack the Ripper;45;Card Game,Murder/Mystery;Hand Management,Set Collection,Voting;This game attaches an interesting theme to a fairly standard Rummy framework.  Playing Victims, Suspects, Scenes, and Evidence-melds, players try to build a case against various suspects for the famous Jack the Ripper serial murders.  Whichever suit has the most cards played in it when a player goes out is the guilty party, but if all the Victim cards come out before the end of the game, the Ripper might escape, giving the player who produced that card a significant point allowance...This is #1 in the Mystery Rummy series...
102;2;8;2;TAMSK;20;Abstract Strategy,Real-time;Area Enclosure,Grid Movement;The hexagonal board has several holes in it for the unique playing pieces.  Each player uses sand timers as his pieces, and a turn is simply to move to an adjacent space, flipping the timer in the process.  The number of times that each space on the board can be occupied is limited, but the more central spaces can have more traffic.  The object of the game is simply to have any of your pieces movable when your opponent's pieces are either locked in place, or out of sand...This game was originally part of project GIPF...
103;4;10;3;Wettstreit der Baumeister;45;City Building;Auction/Bidding;Jean du Po&#195 &#171 l put this game out on the market for about a year before the game's name was changed to Wettstreit der Baumeister in 1998...This translates to &quot Contest of the Architects&quot . The game has a beautiful assortment of large, thick tiles to represent the cities. Players bid on a single building tile every turn, with half the proceeds going to the auctioning player. When a player is ready to start construction of his city, the tiles are laid out in order with the single restriction that not two touching tiles are the same type. The building types are city halls, churches, towers, and gates. When the one of the two draw piles is exhausted, the cities are judged for symmetry, with the highest scoring city winning...Rules apply to either game:..Within two decks of 20 cards are contained the City Wall, Towers and Gates, Churches, City Halls, etc. During play, one of the decks lies face up, the other face down. There are three parts to each player's turn. First, the player rolls a die in an attempt to better his finances (1 to 5 on the die  the sixth side gives a sabotage-counter instead). Second, he alone may look at the top hidden card before he makes an offer on either of the two top cards from the two decks. The other players then bid on the two cards. If the player (the Auctioneer) makes the highest bid, he may take the card and pay the bank. If, on the other hand, one of the other players buys the card, that player pays half the money to the bank and half to the Auctioneer. Third, a player may either build (lay down another card on his city) or sabotage a City Card of another player. The player receiving the sabotage must then pay the value of the card or remove it...The game ends when either of the decks is depleted...
104;6;8;2;Auf Achse;60;Economic,Transportation;Auction/Bidding,Pick-up and Deliver,Roll / Spin and Move;Auf Achse translates roughly to &quot On the Road,&quot  an appropriate title for this 1987 Spiel des Jahres winner which has players delivering loads of commodities to various German and other European cities. Supply cities and demand cities are determined through card play, and players attempt to get delivery contracts by bidding against one another. Movement is accomplished by rolling a die and then moving little rubberized trucks around an abstracted map which depicts lots of interconnected roads and cities in Germany and surrounding countries...Re-released in 2007 with new artwork and several rule changes designed to reduce randomness...
105;5;12;3;Rheinländer;90;Abstract Strategy,Medieval,Territory Building;Area Control / Area Influence,Area Enclosure,Hand Management;This Reiner Knizia game, produced by Hasbro's European division, casts players in the roles of dukes who are trying to establish duchies along the banks of the Rhine River.  Players hold a hand of cards that correspond to numbered plots on each bank, and they place knights in open plots for which they hold the corresponding cards.  After establishing duchies, players attempt to expand them to include more plots of land, as well as buildings - such as castles, cathedrals, and cities. These buildings both add to the value of a duchy and provide their owners with advantages during game play.  Combined with a uniquely Knizia-style scoring system, this game has some very interesting dynamics...
106;6;14;2;Condottiere;45;Bluffing,Card Game,Medieval,Negotiation;Area Control / Area Influence,Auction/Bidding,Hand Management;It is 13th century Italy. Trade is flourishing between the city-states and the Levant. Venice, Florence, and Genoa are all bursting with wealth. However, each city-state is also plagued with a weak national army, leaving them defenseless against invasion from their envious neighbors. Enter the Condottiere. . As veteran English soldiers returned from the Crusades, Italy found itself with an influx of desperate and capable men. These hired swords were contracted to fight for individual city-states by an agreement known as a condotta. The most elite of these men were the mercenary leaders known as the Condottiere...The object of Condottiere is to acquire four connected provinces in renaissance Italy. To do this players auction off different provinces on the board and bid on these provinces with a hand of cards representing mercenaries, seasons, scarecrows, and political figures. However, unlike standard auctions in which only the highest bidder loses their bid, in Condottiere every player loses their bid.  Players are, in effect, bidding the number of troops they are willing to lose in order to win a province. However, several special effect cards shake the contests up and keep the players guessing...
107;6;10;4;Mit List und Tücke;60;Card Game;Trick-taking;This trick-taking game has quite a few twists.  Those accustomed to the genre will be particularly thrown off by two aspects: players don't have to follow suit, and the loser of a trick leads the next trick.  Those features, along with an unusual scoring system (you want to be really strong in two suits and really weak in the other two) and the fact that the winner of a trick gets to choose which cards to take, combine to create a very unusual game....
108;6;12;2;Ransom;45;Abstract Strategy,Bluffing,City Building,Economic,Negotiation;Auction/Bidding,Co-operative Play,Commodity Speculation,Memory,Partnerships,Trading;This game comes inside what looks like a video tape case, which is definitely odd for a board game.  Inside the package are cards for properties on Manhattan island, workers, building materials, and building contracts.  Each turn, players turn over a card and either purchase it outright or auction it to the group.  But when the contracts get bought, players will need to negotiate a deal, because it's very difficult to build a decent sized building on your own.  The deal making is vicious and cutthroat, ergo the name...The 1995 edition features rules in English, Japanese, German, Spanish and French (see the Tidwell review)...
109;6;12;3;I'm the Boss!;60;Negotiation;Dice Rolling,Hand Management,Roll / Spin and Move,Set Collection,Take That;Classic negotiation game in which players take turns being &quot The Boss&quot  arranging deals between specific players on how best to divide piles of money. Players can sabotage or kill deals they're not happy with...Rarely is a game stripped down to its bare essense as cleanly as I'm the Boss! is. Up to fifteen deals can be made over the course of the game, and a player who is part of a successful deal will receive a certain amount of money...How much money? Well, that depends on whatever deal is made among the players involved, as negotiated by that round's boss. Complicating matters quite a bit, however, each player has a hand of action cards that can be used to derail negotiations, insert themselves into a deal, take over the role of boss, and otherwise muck with the smooth flow of deal-making that other players had hoped to achieve. Nertz to them! If you want to make a deal, you gotta cut me a share!..Once nine deals have been made, a die is rolled after each subsequent deal to determine whether the game ends (with the odds increasing each time). Victory goes to whoever has the biggest bankroll!..
110;5;12;2;Guillotine;30;Card Game,Humor;Hand Management;The French Revolution is famous in part for the use of the guillotine to put nobles to death, and this is the macabre subject of this light card game.  As executioners pandering to the masses, the players are trying to behead the least popular nobles.  Each day the nobles are lined up and players take turns killing the ones at the front of the line until all the nobles are gone.  However, players are given cards which will manipulate the line order right before 'harvesting,' which is what makes the game interesting.  After three days worth of chopping, the highest total carries the day...
111;4;10;2;Ta Yü;45;Abstract Strategy;Partnerships,Pattern Building,Route/Network Building,Tile Placement;In Ta Y&uuml , a game of connections, one side tries to extend from the starting tile in the center to reach the western and eastern edges of the board while the opposing side tries to reach the northern and southern edges.  On your turn you simply draw a tile and decide where to place it, extending the network of tiles already on the board...Several refinements make this simple proposition into an engrossing game.  First, each tile is 3x1 (to be played on a 19x19 board) and has exactly three outlets (potential connection points). Second, your score is not simply the number of spots you've reached on one edge added to the number of spots you've reached on the other, but is the product of those two numbers.  So you can't just concentrate on one side and ignore the other, because zero times anything is still zero.  Third, on each side of the board there are three special points which score double if reached, adding a dab of focus to the choices...Interestingly, you need to play both offense and defense and will often have to decide to which use to put a particular tile...
112;5;10;3;Modern Art;45;Card Game,Economic;Auction/Bidding,Commodity Speculation,Hand Management;Buying and selling paintings is a very lucrative business, at least that's what Hollywood's led us to believe, and that's the premise of this game.  Five different artists have produced a bunch of paintings, and it's the player's task to be both the buyer and the seller, hopefully making a profit in both roles.  He does this by putting a painting from his hand up for auction each turn.  He gets the money if some other player buys it, but must pay the bank if he buys it for himself.  After each round, paintings are valued by the number of paintings of that type that were sold.  The broker with the most cash after four rounds is the winner...Part of the Knizia auction trilogy...
113;4;9;2;Kingdoms;45;Abstract Strategy,Fantasy,Medieval;Tile Placement;Auf Heller und Pfennig takes participants to a medieval marketplace that looks remarkably like a plain matrix for square tiles. Each turn, players place tiles onto the board that modify (either positively or negatively) the amount of money to be made by the shops that share that tile's row or column. Three times the board is filled with tiles and shop money is earned, after which the player with the most money wins...In Kingdoms, the English-language version of Auf Heller und Pfennig, players try to collect the most gold by establishing castles in the richest regions of the realm while avoiding hazards like dragons, swamps, and trolls. The 2011 edition includes detailed plastic castles, a streamlined rulebook, and the addition of a wizard tile&mdash one that increases the rank of adjacent castles, multiplying their scores&mdash previously available only at game conventions...Re-implemented by:...     Beowulf: The Movie Board Game...
114;6;12;2;Hoity Toity;45;Bluffing;Rock-Paper-Scissors,Set Collection,Simultaneous Action Selection;What do bored English noblemen do with their free time?  Well, according to this Spiel des Jahres (1990) winner by Klaus Teuber, they like collecting old junk and then showing it off.  Players buy or steal various pieces of junk in the form of cards, trying to form the largest and oldest collection.  Built on a 'rock-paper-scissors' mechanism, this game gives all players a couple of choices each turn.  The trick is in guessing what your opponents are likely to do, and planning your choice accordingly&mdash only after everyone's decision is revealed do you know for certain whether you made the right one...Note: Hoity Toity (Uberplay, 2004) is for 3 to 6 players..      Spionage! (G&amp RRR, 1992) is for 2 to 5 players..
